Company Name,Verticals,Keywords,Company Financing Status,Total Raised,Business Status,Ownership Status,Universe,Employees,Exchange,Ticker,Year Founded,HQ Location,HQ City,HQ State/Province,HQ Country,HQ Global Region,HQ Global Sub Region,# Active Investors,Acquirers,First Financing Date,First Financing Size,First Financing Valuation,First Financing Deal Type,First Financing Deal Type 2,First Financing Deal Class,First Financing Status,Last Financing Date,Last Financing Size,Last Financing Valuation,Last Financing Deal Type,Last Financing Deal Type 2,Last Financing Deal Class,Last Updated Date,Last Known Valuation (M),Last Known Valuation Date,Count,First Financing Deal Year,Current Year
SpaceX,"Industrials, Manufacturing, Space Technology","satellite development, space launch, space launch vehicle, space rocket, space technology, space tourism",Venture Capital-Backed,5869.70,Profitable,Privately Held (backing),"Debt Financed, Private Equity, Venture Capital","8,000",,,2002,"Hawthorne, CA",Hawthorne,California,United States,Americas,North America,84,,01-Jun-2002,12.00,,Capitalization,,Individual,Completed,18-Aug-2020,"1,901.45","46,000.00",Later Stage VC,,Venture Capital,23-Oct-2020,46000,18-Aug-2020,1,2002,2020
OneWeb,"Space Technology, TMT","broadband access, broadband satellite, internet access, internet accessing device, internet provider, internet service, satellite constellation",Private Equity-Backed,4489.55,Generating Revenue/Not Profitable,Privately Held (backing),"M&A, Private Equity, Venture Capital",74,,,2012,"McLean, VA",McLean,Virginia,United States,Americas,North America,2,,15-Jan-2015,500.00,,PE Growth/Expansion,,Private Equity,Completed,03-Jul-2020,"1,000.00","1,111.11",Merger/Acquisition,,Corporate,15-Sep-2020,1111.11,03-Jul-2020,1,2015,2020
Spirit AeroSystems Holdings,"Industrials, Manufacturing, Space Technology, TMT","aerostructures, aircraft parts, defense structure, fuselage, wing system",Formerly PE-Backed,1558.10,Profitable,Publicly Held,"Debt Financed, Private Equity, Publicly Listed","18,200",NYS,SPR,1927,"Wichita, KS",Wichita,Kansas,United States,Americas,North America,,,17-Jun-2005,"1,100.00","1,100.00",Buyout/LBO,Corporate Divestiture,Private Equity,Completed,02-May-2018,75.00,,Share Repurchase,,Other,10-Oct-2020,3327.81,21-Nov-2006,1,2005,2020
SES,"Space Technology, TMT","artificial satellite, geostationary satellite, satellite communication network, satellite communication service, satellite operator",Formerly VC-backed,1029.60,Profitable,Publicly Held,"Publicly Listed, Venture Capital","2,100",LUX,SESGL,1985,"Luxembourg, Luxembourg",Luxembourg,,Luxembourg,Europe,Western Europe,5,,01-Jan-1990,35.31,"1,535.41",Secondary Transaction - Private,,Venture Capital,Completed,01-Jan-2017,,,Secondary Transaction - Open Market,,Venture Capital,08-Oct-2020,7434.54,06-Jul-1998,1,1990,2020
Blue Origin,"Industrials, Space Technology, TMT","aerospace, human spaceflight, liquid rocket engine, space launch, space technology, space tourism, spaceflight system",Venture Capital-Backed,500,Generating Revenue,Privately Held (backing),Venture Capital,"3,000",,,2000,"Kent, WA",Kent,Washington,United States,Americas,North America,4,,,,,Seed Round,Seed Round,Venture Capital,Completed,14-Jan-2020,,,Later Stage VC,,Venture Capital,22-Oct-2020,,,1,,2020
Virgin Galactic,"Industrials, Space Technology, TMT","blank check, commercial aviation, commercial spacecraft, human spaceflight, spac, space tourism, space tourist, spaceflight, special purpose acquisition corporation",Pending Transaction (PE),480.2,Generating Revenue/Not Profitable,Publicly Held,"Private Equity, Publicly Listed, Venture Capital",933,NYS,SPCE,2004,"Mojave, CA",Mojave,California,United States,Americas,North America,2,,01-Jan-2004,,,Buyout/LBO,,Private Equity,Completed,11-May-2020,485.00,,Secondary Transaction - Private,,,29-Oct-2020,1724.13,01-Jul-2011,1,2004,2020
Orbcomm,"Oil & Gas, Space Technology, TMT","cellular, communication satellite, communication satellite network, data communication, mobile assets, satellite based communication service, satellite infrastructure, terrestrial-based cellular communication",Formerly PE-Backed,464.26,Generating Revenue/Not Profitable,Publicly Held,"Debt Financed, Private Equity, Publicly Listed, Venture Capital",786,NAS,ORBC,1993,"Rochelle Park, NJ",Rochelle Park,New Jersey,United States,Americas,North America,1,,15-Sep-2000,,,Bankruptcy: Admin/Reorg,,Bankruptcy,Completed,10-Apr-2020,,,Debt - PPP,,Debt,13-Oct-2020,381.49,10-Nov-2014,1,2000,2020
Kymeta,"Mobility Tech, Space Technology, TMT","adaptable antenna, communication terminal, electromagnetic radiation, mobility tech, satellite terminal",Venture Capital-Backed,412.54,Generating Revenue,Privately Held (backing),"M&A, Venture Capital",200,,,2012,"Redmond, WA",Redmond,Washington,United States,Americas,North America,12,,01-Aug-2012,,,Platform Creation,,Venture Capital,Completed,25-Aug-2020,214.96,374.96,Later Stage VC,Series B1,Venture Capital,21-Sep-2020,374.96,25-Aug-2020,1,2012,2020
Planet,"CleanTech, Space Technology","aerospace technology, geospatial insights, impact investing vertical, monitor earthing, planet analytics feed, planet monitoring, planet tasking, satellite imaging, satellite monitoring",Venture Capital-Backed,386.03,Generating Revenue,Privately Held (backing),"Debt Financed, Venture Capital",577,,,2010,"San Francisco, CA",San Francisco,California,United States,Americas,North America,46,,26-Jun-2013,13.42,38.42,Early Stage VC,Series A,Venture Capital,Completed,04-Jul-2019,,,Later Stage VC,,Venture Capital,14-Oct-2020,1768,05-Aug-2017,1,2013,2020
Maxar Technologies,"Industrials, Manufacturing, Space Technology, TMT","communication satellite, geospatial, satellite imaging, surveillance",Formerly PE-Backed,277.79,Profitable,Publicly Held,"Debt Financed, Private Equity, Publicly Listed, Venture Capital","5,800",NYS,MAXR,1969,"Westminster, CO",Westminster,Colorado,United States,Americas,North America,,,01-Jan-1982,6.00,,Later Stage VC,,Venture Capital,Completed,07-Mar-2013,250.00,,Public Investment 2nd Offering,,Public Investment,10-Oct-2020,964,27-Mar-2002,1,1982,2020
